Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2018,Virginia Beach City,VA,Passenger,1,1,2,676,678,0.29
February 28 2018,NULL,WA,Passenger,0,0,0,3,3,0
February 28 2018,NULL,WA,Truck,0,0,0,2,2,0
February 28 2018,Adams,WA,Passenger,5,4,9,"12,871","12,880",0.07
February 28 2018,Adams,WA,Truck,0,0,0,"5,384","5,384",0
February 28 2018,Asotin,WA,Passenger,8,5,13,"12,903","12,916",0.1
February 28 2018,Asotin,WA,Truck,0,0,0,"6,821","6,821",0
February 28 2018,Benton,WA,Passenger,187,187,374,"133,338","133,712",0.28
February 28 2018,Benton,WA,Truck,0,0,0,"42,122","42,122",0
February 28 2018,Chelan,WA,Passenger,96,40,136,"54,541","54,677",0.25
February 28 2018,Chelan,WA,Truck,0,0,0,"22,371","22,371",0
February 28 2018,Clallam,WA,Passenger,117,106,223,"50,313","50,536",0.44
February 28 2018,Clallam,WA,Truck,0,0,0,"21,905","21,905",0
February 28 2018,Clark,WA,Passenger,985,647,"1,632","311,550","313,182",0.52
February 28 2018,Clark,WA,Truck,0,0,0,"81,000","81,000",0
February 28 2018,Columbia,WA,Passenger,2,1,3,"2,463","2,466",0.12
February 28 2018,Columbia,WA,Truck,0,0,0,"1,611","1,611",0
February 28 2018,Cowlitz,WA,Passenger,66,81,147,"72,505","72,652",0.2
February 28 2018,Cowlitz,WA,Truck,0,0,0,"29,143","29,143",0
February 28 2018,Douglas,WA,Passenger,43,33,76,"27,936","28,012",0.27
February 28 2018,Douglas,WA,Truck,0,0,0,"12,171","12,171",0
February 28 2018,Ferry,WA,Passenger,2,3,5,"4,575","4,580",0.11
February 28 2018,Ferry,WA,Truck,0,0,0,"3,749","3,749",0
February 28 2018,Franklin,WA,Passenger,41,54,95,"58,449","58,544",0.16
February 28 2018,Franklin,WA,Truck,0,0,0,"19,262","19,262",0
February 28 2018,Garfield,WA,Passenger,1,0,1,"1,368","1,369",0.07
February 28 2018,Garfield,WA,Truck,0,0,0,970,970,0
February 28 2018,Grant,WA,Passenger,34,43,77,"64,362","64,439",0.12
February 28 2018,Grant,WA,Truck,0,0,0,"26,821","26,821",0
February 28 2018,Grays Harbor,WA,Passenger,52,51,103,"46,944","47,047",0.22
